variance,ac1,cv,skewness,kurtosis,label
1.5425436455863696e-20,0.9554314106815055,3.332166009900094,6.075078723313782,42.908841882972474,1
3.103026430843146e-22,0.9642374750922225,2.2476307015258157,3.794482551599936,18.496181110079718,0
4.208585049347617e-23,0.9875722407445696,1.1575702240602346,1.6914199080012358,5.154431481975912,1
2.0800364431946763e-24,0.9799105226415885,0.8707518246931294,3.4903046174861023,17.222336084000762,0
5.996513216868017e-19,0.9747124775328655,1.6686594266614614,1.8478179395527632,5.517123074703874,1
1.0456554213215696e-22,0.9858986270312715,1.971724616114906,3.9890332260196364,20.02684902475984,1
1.2276655515170494e-15,0.98895353443435,2.0383113124919774,3.4465771615356955,15.705602591182464,1
1.8487389871576253e-22,0.9506141184989229,2.2959221996237154,3.7820239557715056,17.211236414735414,1
1.7990670617626244e-24,0.9086271328861768,0.6645627781582226,2.5152488160338695,11.729975428741486,1
3.505850481550492e-18,0.9857013427411091,1.4549501119918984,1.533363676633366,4.601698070053725,1
2.651642932064869e-22,0.9957042822870142,1.3739567348120585,2.13810975675908,6.832398307951219,1
1.4830109885796908e-07,0.9738358109875865,3.3731332278203365,4.665007619357859,27.69072839772882,1
2.636407315204452e-22,0.9955788441957674,2.259555488826401,3.344084332523871,14.495947869988878,1
4.156021795783363e-10,0.9903848222568419,2.9887418781755026,3.6010550471381535,15.274354492876947,1
8.178276769795972e-25,0.9230642787595413,0.6370539047708121,4.51642631126495,28.952507351267545,0
1.9744353133765197e-24,0.9801380371200147,1.0448925504010165,6.063732459818008,42.197405437479055,0
5.147306220242763e-28,0.9242687280882071,0.02260356282104981,7.244832503886277,57.89510281604862,0
3.430729489992059e-16,0.9842414455769141,3.3989742330953354,3.9706750754775575,18.75274638188873,1
1.9371413264980142e-13,0.9745624222656681,2.8948346221699897,3.6452336432464763,16.18898795769673,1
4.0234992799611974e-26,0.7899248771462233,0.18102396683536184,2.7694256170013074,13.042450452596661,0
1.6688581101742963e-15,0.9865650140962127,1.9584784707871732,2.576118855926839,9.954139125395667,1
2.0140695047560287e-22,0.9889482316174062,1.2687677143079084,1.3040962662545719,3.414895801363765,1
1.2491872861590166e-23,0.9771575112406099,1.2660575994866816,2.3894331015388808,8.026453129767987,0
4.4809095801115225e-12,0.9824055174379445,3.1493287741090517,3.9760075697915913,18.467617868942554,1
8.41632052703063e-23,0.9825085463037239,1.6822198192474718,2.319011700718486,7.48511580126949,1
4.65041415383001e-25,0.8199312924427475,0.4853988291717091,3.2336996969858327,18.801458539723978,0
1.442291385391216e-23,0.9399853286586398,1.4927438092663146,4.935187181416387,33.18131069829458,1
1.3660092546252835e-24,0.9480129589107245,0.5446720259350993,1.2588229929278005,5.127897326596754,1
1.357635421551549e-21,0.9861802997647617,2.1503523984443373,2.3331086106850236,7.288468658066064,0
2.2409051350032514e-27,0.4528884167100627,0.04643802332385597,2.9895120379686926,12.326640365105327,0
2.2239293578121804e-23,0.9897498602193439,1.7289192022329263,4.184615434340624,22.660298449726795,1
5.598292422439401e-24,0.9713589405066261,0.972640094306635,2.5686766153950042,10.291119061668507,1
1.2397219248789456e-27,0.4854699873947992,0.034888102477796744,5.13243033936733,32.136587846814166,0
4.2897281233168556e-16,0.9790182128829383,2.189479071491644,3.2795347471404743,14.907145188848538,1
1.0287099479479846e-22,0.9604397684538308,1.6943613060498102,3.494124964978126,17.20164291280661,1
4.1653367743756894e-21,0.9826202555076249,2.8997801303716138,4.2046752808452865,21.052994935163312,1
7.317251672448365e-22,0.9948993677018393,2.2371339571719995,3.0023509895904685,12.075161153543556,1
2.2206823867916867e-24,0.992351473824348,0.8228508927932687,2.4943692123261956,9.865610982034266,0
6.885970723885261e-25,0.9868719228920061,0.48826091965017426,1.2830175543991937,3.844013856799954,1
1.3979318850842692e-22,0.9803153468950826,1.8817128975735944,2.725925411780182,10.16631957716626,0
6.439246253092821e-28,0.5280107947047838,0.02519745833246614,4.7033011349218325,27.776895237275205,0
5.494482280206628e-26,0.8234704795380633,0.21464176180646544,4.761462498088795,32.89668253557109,0
2.661297555007507e-22,0.9922647885080274,1.3975381438967611,2.1234901839091926,6.923519296822534,1
9.113137098653013e-23,0.988221779295244,2.103038348979946,3.383770217995189,14.03014543531787,0
0.40937899552062995,0.9920918413383493,2.9226853177826357,3.8719254599610635,18.028186982502916,1
