variance,ac1,cv,skewness,kurtosis,label
8.706976182088534e-11,0.6085743179193644,3.1635412400597955,6.744460228814596,62.088080586725575,1
1.0078628031526123e-09,0.748795757048394,5.689626719441778,10.672475590900314,134.28443338976848,0
5.902258172468473e-10,0.3401368861039647,7.745081687116952,17.88399245262581,356.3726676588061,1
4.5544612607866055e-10,0.7537961385059596,7.154508053078026,12.3899331605195,172.58048034961985,0
3.0572306578959496e-11,0.6565095102181957,3.0624998722112577,7.473864741118465,77.66392858442484,1
2.9833801242466754e-11,0.6351558896448277,4.220483112191961,10.715190531639044,146.87166665221415,1
3.75256289462803e-11,0.693452557568903,3.520641294096864,7.814661666760083,76.38053745602289,1
1.9242042763490506e-08,0.7803298563137715,7.37275334027983,9.536087876109063,99.13829536923866,1
2.2266142656561144e-11,0.6256425148982296,2.7696229291016614,5.850965495445897,49.35938219454881,1
8.091949240413285e-09,0.41979918387823756,10.148098607057308,17.46081678597008,331.6339725809487,1
7.481005674889765e-11,0.6748286404943398,4.594666423230345,12.136301120847774,184.4255385542684,1
3.328579210350224e-11,0.6499019878088037,3.9137263905345923,9.058668413082263,100.59664803233615,1
1.2330473852444896e-08,0.558242748343552,10.4163661168126,15.379768417376349,253.3889568168087,1
1.289220268820833e-10,0.6200647192328445,5.529052064775534,10.112172773867094,115.69593884274455,1
7.191842030740414e-12,0.7046293457168138,2.7302461935937976,6.714059728048053,57.84661284829024,0
7.767661688790277e-11,0.564016543083605,5.4134540669843245,12.025096832246998,174.45373040392818,0
3.2647050203630956e-11,0.7918000010986548,4.430985258581468,11.107806940781927,140.8181901521481,0
2.027096993537846e-11,0.5210754517785022,3.6538509592415735,10.447401603447599,147.0326860675579,1
5.189268026449623e-11,0.38311094808477036,4.469396101632437,15.02048997722331,276.22911575404316,1
3.84787663433422e-11,0.7693347789719592,4.098946250056703,7.980192555275339,71.20593452127378,0
5.7124470624684764e-11,0.5741427074416582,3.874250061252757,9.813356779333004,119.53262763254862,1
4.417895931226607e-11,0.4095641887627374,5.069328115835042,14.775389908809988,261.18620740695627,1
6.18848503428342e-10,0.6715394382669579,5.5824348037111235,9.599618632152753,107.30760704273497,0
4.2944948698799303e-10,0.3191905711189028,6.388979234691736,15.698347763533862,294.74505668038546,1
1.9026083165248503e-11,0.7816371552219984,3.388798181499949,5.9172460141082945,39.6327320507949,1
2.873332962705278e-10,0.5123585754264118,5.346413593116354,10.145931247755893,121.68429669178542,0
5.454701109078279e-09,0.34441985092328364,11.155309919925188,18.923896259767183,384.6860361806067,1
1.8350038349073398e-10,0.6471545189991753,3.7112256982249017,6.394089477156386,52.84099631629097,1
8.639551535771968e-11,0.758697105910827,5.837956607435835,12.324291641872966,174.60896429427993,0
1.6643738316868662e-12,0.6758268019061111,1.9994519790772347,5.305056942194213,42.645242062457605,0
8.364362359510097e-10,0.35696476840271224,6.129433294980741,14.350887864700757,255.51033274207276,1
